id,date,bank_code,bank_name,amount,memo,recipient,category,confidence,reference,is_sample
10100,2026-09-17,KTB,KTB (กรุงไทย),2190.00,ค่าเช่าห้อง,หอพักตัวอย่าง,ค่าสาธารณูปโภค,0.86,DEMO-KTB-260917-100,True
10099,2026-09-16,KBank,KBank (กสิกรไทย),590.00,อาหารกลางวัน,ครัวบ้านสวน,ค่าอาหาร,0.89,DEMO-KBank-260916-099,True
10098,2026-09-15,BBL,BBL (ธนาคารกรุงเทพ),415.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.85,DEMO-BBL-260915-098,True
10097,2026-09-14,BAY,BAY (กรุงศรีอยุธยา),4170.00,ฝากซื้อของ,เพื่อนตัวอย่าง,โอนเงิน,0.89,DEMO-BAY-260914-097,True
10096,2026-09-13,BAY,BAY (กรุงศรีอยุธยา),155.00,มื้อเย็น,ร้านอิ่มอร่อย,ค่าอาหาร,0.87,DEMO-BAY-260913-096,True
10095,2026-09-12,KTB,KTB (กรุงไทย),310.00,กาแฟและขนม,Cafe Corner,ค่าอาหาร,0.96,DEMO-KTB-260912-095,True
10094,2026-09-11,BAY,BAY (กรุงศรีอยุธยา),1815.00,คืนเงินเพื่อน,ผู้รับตัวอย่าง A,โอนเงิน,0.85,DEMO-BAY-260911-094,True
10093,2026-09-10,SCB,SCB (ไทยพาณิชย์),780.00,ตัดผม,ร้านตัดผม,สุขภาพ/ความงาม,0.89,DEMO-SCB-260910-093,True
10092,2026-09-09,KBank,KBank (กสิกรไทย),460.00,ก๋วยเตี๋ยว,ตลาดสด,ค่าอาหาร,0.95,DEMO-KBank-260909-092,True
10091,2026-09-08,KBank,KBank (กสิกรไทย),2100.00,สินค้าออนไลน์,Online Shop,ค่าของใช้,0.91,DEMO-KBank-260908-091,True
10090,2026-09-07,BBL,BBL (ธนาคารกรุงเทพ),2050.00,ของใช้ส่วนตัว,ร้านค้าชุมชน,ค่าของใช้,0.99,DEMO-BBL-260907-090,True
10089,2026-09-06,KBank,KBank (กสิกรไทย),2805.00,โอนให้ครอบครัว,สมาชิกครอบครัว,โอนเงิน,0.88,DEMO-KBank-260906-089,True
10088,2026-09-05,BAY,BAY (กรุงศรีอยุธยา),260.00,ค่าเดินทาง,สถานีบริการน้ำมัน,ค่าเดินทาง,0.89,DEMO-BAY-260905-088,True
